P BARCODE,P TYPE,HOME LIBR,RECORD #
"21743005225511","12","m","p10000665"
"21743003223252","0","r","p10001049"
"21743000005678","2","m","p10001931"
"21743004040283","0","m","p10002145"
"21743003960028","0","m","p10004415"
"21743002432326","0","c","p10005158"
"21743003718780","2","m","p10012485"
"21743003164548","0","c","p10017069"
"21743005697347","6","l","p10017549"
"21743005161906","2","m","p10018554"
"21743003031184","0","m","p1001956x"
"21743003546488","6","l","p10020081"
"21743005210752","0","c","p10031200"
"21743002289940","0","m","p10031418"
"21743003981115","0","m","p10036763"
"21743004022943","8","n","p10045545"
"21743004893889","6","l","p10046306"
"21743004038113","0","c","p10048686"
"21743004023719","2","r","p10049812"
"21743003992468","4","g","p10055769"
"21743005010541","8","n","p10060388"
"21743002425171","2","a","p10064412"
"21743003994449","0","r","p10064448"
"21743003975455","0","a","p10066457"
"21743005193149","0","r","p10068776"
"21743002919777","2","r","p10072354"
"21743003374063","0","m","p10076700"
"21743003680709","0","c","p10080466"
"21743004089124","0","c","p10080855"
"21743000420778","0","c","p10093485"
"21743000423699","0","m","p10094623"
"21743002727014","0","a","p10095196"
"21743005478581","2","a","p10095597"
"21743004552386","2","m","p10096437"
"21743000434290","0","r","p10097284"
"21743003342672","6","l","p10101433"
"21743000453316","0","r","p10102711"
"21743005675152","0","m","p10103910"
"21743004040200","2","m","p10104963"
"21743004822607","0","a","p10108452"
"21743003637998","0","a","p10109559"
"21743003121605","0","m","p1010981x"
"21743004006011","0","m","p10109948"
"21743002093292","0","x","p10111517"
"21743005005244","0","r","p10112820"
"21743004004511","0","g","p10115481"
"21743000509109","4","g","p10118445"
"21743000513523","4","g","p10119693"
"21743003967882","0","a","p10120518"
"21743000521583","0","m","p10122400"
"21743005215678","0","drive","p10123131"
"21743003747250","0","r","p10123763"
"21743000525451","2","r","p10123878"
"21743003928579","0","c","p10128001"
"21743004685426","4","m","p10129170"
"21743005381439","2","r","p1013167x"
"21743004824157","0","a","p10133562"
"21743004551222","2","a","p10134839"
"21743004676607","0","s","p10136174"
"21743000569699","2","m","p10136794"
"21743000585422","0","m","p10140141"
"21743003975018","0","m","p10141546"
"21743000599084","0","r","p10143932"
"21743004538831","0","r","p10146180"
"21743004759890","0","m","p10150055"
"21743000619635","0","a","p10151072"
"21743005676515","0","c","p10153548"
"21743003685369","0","c","p10153937"
"21743004086393","0","c","p10155454"
"21743005558408","0","c","p10155491"
"21743000635623","8","m","p10156811"
"21743002331882","0","a","p10161119"
"21743003993995","0","a","p10161478"
"21743000652107","0","r","p10162410"
"21743004040747","2","m","p10165368"
"21743004714879","0","a","p1016649x"
"21743004702486","6","l","p10168722"
"21743004891974","6","l","p10169283"
"21743004954855","4","g","p1016991x"
"21743005082623","4","g","p10170789"
"21743004953923","0","m","p10172968"
"21743005444781","12","r","p10173419"
"21743002883718","0","r","p10173742"
"21743004959797","0","drive","p10173912"
"21743005096466","0","r","p10175027"
"21743004874954","2","a","p10178004"
"21743000703090","0","a","p1017848x"
"21743004678330","0","drive","p10183693"
"21743003995750","0","r","p1018384x"
"21743003973476","0","r","p10184077"
"21743000718734","0","r","p10184387"
"21743000722587","0","r","p10185513"
"21743004043295","0","drive","p10186311"
"21743003994571","0","r","p10186438"
"21743000728774","0","a","p10187224"
"21743000733113","2","m","p10188174"
"21743004660288","4","g","p1018966x"
"21743004090627","2","m","p10189750"
"21743005263686","0","r","p10191537"
"21743000749259","0","m","p10192001"
"21743000750349","0","r","p10192360"
"21743004037404","0","c","p1019745x"
"21743003397197","0","r","p10199068"
"21743003977832","0","r","p10199895"
"21743004019766","0","m","p10204052"
"21743005238993","2","m","p10204349"
"21743000786863","0","r","p10204581"
