"barcode","ptype","circ"
"21743002757094","0","67"
"21743005563291","1","59"
"21743005207279","1","37"
"21743005282116","10","32"
"21743005096458","1","32"
"21743001197409","8","31"
"21743005144738","1","29"
"21743004861258","0","29"
"21743005442074","6","28"
"21743003172285","0","28"
"21743004959797","0","28"
"21743005055520","0","27"
"21743004673216","0","27"
"21743004802518","1","27"
"21743005014964","1","27"
"21743004505087","6","27"
"21743005454897","0","27"
"21743005444054","5","25"
"21743005062807","1","24"
"21743004100954","0","24"
"21743004979597","6","23"
"21743004005658","0","23"
"21743002439685","0","23"
"21743004682399","0","22"
"21743004950903","0","22"
"21743005204193","1","22"
"21743005605142","3","21"
"21743005590153","1","21"
"21743004682589","0","21"
"21743004872453","6","21"
"21743004882148","0","21"
"21743004632840","4","20"
"21743003994217","6","20"
"21743005388608","0","20"
"21743005572847","3","19"
"21743004922092","0","19"
"21743001721455","0","19"
"21743004814893","1","19"
"21743004676052","0","18"
"21743004012365","2","18"
"21743003492469","4","17"
"21743005002696","0","17"
"21743000719872","0","17"
"21743004502845","0","17"
"21743003958725","2","16"
"21743004080081","4","16"
"21743005374954","1","16"
"21743005288303","3","16"
"21743005669130","19","16"
"21743005564224","1","16"
"21743003148426","0","16"
"21743005161906","2","16"
"21743002141059","2","15"
"21743004839882","14","15"
"21743005730346","2","15"
"21743005179304","0","15"
"21743005345244","1","15"
"21743005386131","1","15"
"21743004902367","0","15"
"21743004565750","0","15"
"21743004112272","0","15"
"21743003476017","1","15"
"21743005090683","2","14"
"21743004709978","0","14"
"21743003113545","0","14"
"21743004805677","0","14"
"21743005048079","2","14"
"21743005107651","1","14"
"21743002132124","0","14"
"21743003995396","0","14"
"21743003746302","2","13"
"21743003352499","0","13"
"21743004964565","0","13"
"21743005698956","2","13"
"21743003709425","4","13"
"21743003641040","0","13"
"21743005447651","2","13"
"21743005173455","0","13"
"21743005087234","3","13"
"21743005196001","0","13"
"21743005454343","0","13"
"21743005289327","1","13"
"21743005376413","0","13"
"21743004592051","0","13"
"21743005104872","1","13"
"21743001612415","2","13"
"21743003980240","4","13"
"21743001108661","0","13"
"21743003232048","2","13"
"21743005470604","3","13"
"21743005352919","1","12"
"21743005345483","0","12"
"21743003209517","0","12"
"21743004085031","2","12"
"21743004040309","0","12"
